
20120507 |       | Slaný, kaple Zasnoubení P. Marie                                             | &bdquo;Varhany má bejt nástroj velebný&ldquo; aneb čeští mistři 18. století a W. A. Mozart<br />koncert v rámci festivalu Varhany znějící<br />Eva Bublová &ndash; varhany, Barbora Sojková &ndash; soprán
20120527 | 18:00 | Ostrov u Karlových Varů, kostel Panny Marie Věrné a sv. Michaela archanděla  | v rámci festivalu Ostrovské varhanní jaro<br />Eva Bublová &ndash; varhany, Karolína Bubleová Berková - zpěv<br />A. Dvořák, L. Vierne, P. Eben aj.
20120528 | 18:00 | Praha, chrám sv. Mikuláše na Malé Straně                                     | Eva Bublová &ndash; varhany, Ludmila Topiarzová &ndash; viola, zpěv<br />koncert duchovní hudby se svatodušním programem
20120613 | 18:00 | Praha, chrám sv. Mikuláše na Malé Straně                                     | varhanní recitál z duchovní hudby
20120727 | 18:00 | Praha, chrám sv. Mikuláše na Malé Straně                                     | Eva Bublová &ndash; varhany, Barbora Perná &ndash; soprán, Dana Mimrová &ndash; fléna<br />duchovní hudba baroka a klasicismu
20120905 | 17:30 | Praha, kostel ČCE U Salvátora na Starém Městě                                | koncert z díla J. S. Bacha, D. Buxtehudeho a W. A. Mozarta na nových varhanách firmy Eule
20120914 | 18:00 | Praha, chrám sv. Mikuláše na Malé Straně                                     | Vexilla regis &ndash; gregoriánský chorál, duchovní slovo a hudba k svátku Povýšení sv. Kříže<br />Eva Bublová &ndash; varhany, Ludmila Topiarzová &ndash; viola, zpěv
20121023 | 19:30 | Praha, chrám sv. Šimona a Judy                                               | Na počátku byl příběh &ndash; programní skladby z období baroka.<br />Eva Bublová &ndash; varhany, cembalo, Miroslav Táborský - vypravěč<br />
20130224 | 16:00 | Bratislava, Koncertná sieň Slovenskej filharmónie                            | J. S. Bach, W. A. Mozart, C. Franck, B. A. Wiedermann, O. Messiaen
20130413 | 19:30 | Ponitz (Německo), Friedenskirche                                             | barokní recitál na varhanách G. Silbermanna
20130501 | 18:00 | Praha, chrám sv. Mikuláše na Malé Straně                                     | varhanní recitál s velikonočními chorály
20130521 | ??:?? | Nový Jičín, kostel Nanebevzetí Panny Marie                                   | Eva Bublová &ndash; varhany, Roman Fojtíček &ndash; saxofon; Tereza Roglová &ndash; zpěv<br/>Hudba pro nevšední trio
20130522 | 19:30 | Valašské Meziříčí, kostel Nanebevzetí Panny Marie                            | Eva Bublová &ndash; varhany, Roman Fojtíček &ndash; saxofon; Tereza Roglová &ndash; zpěv<br/>Hudba pro nevšední trio
20130529 | 20:00 | Praha, Obecní dům, Smetanova síň                                             | Festival Pražské jaro<br/>Eva Bublová &ndash; varhany, Symfonický orchestr hl. m. Prahy FOK, Jean Claude Casadesus &ndash; dirigent<br/>C. Saint-Sa&euml;ns: Symfonie c moll "varhanní", F. Poulenc, M. Ravel
20130724 | 18:00 | Praha, chrám sv. Mikuláše na Malé Straně                                     | varhanní recitál duchovní hudby
20130815 | 19:00 | Děčín, děkanský kostel Povýšení sv. Kříže                                    | W. A. Mozart, R. Schumann, L. Vierne, A. P&auml;rt, P. Eben, J. van Oortmerssen
20130918 | 12:00 | Freiberg (Německo), Petrikirche                                              | polední varhanní půlhodinka
20130919 | 20:00 | Freiberg (Německo), Dom St. Marien                                           | recitál na slavných Silbermannových varhanách<br/>J. S. Bach, G. B&ouml;hm, Fr. Couperin, J. Kuhnau
20140417 |       | Praha, Koncertní síň Pražského jara                                          | Eva Bublová &ndash; varhany, Barbora Sojková &ndash; soprán<br/>Temnota a světlo Velikonoc &mdash; francouzské kantáty a německé chorály<br/>Hellichova 18, Praha 1
20140507 | 18:00 | Praha, chrám sv. Mikuláše na Malé Straně                                     | varhanní recitál duchovní hudby
20140607 | 16:00 | Sternhagen (Německo), Dorfkirche                                             | recitál na historických varhanách Joachima Wagnera<br/>J. S. Bach, J. Kuhnau, J. C. Fischer, J. C. Kerll
20140701 | 19:00 | Praha, katedrála sv. Víta                                                    | zahajovací koncert varhanního festivalu<br/>C. Frank - Fantasie A dur, O. Messiaen - cyklus Oslavená těla
20140815 | 18:00 | Praha, chrám sv. Mikuláše na Malé Straně                                     | Eva Bublová &ndash; varhany, Ludmila Topiarzová &ndash; viola, zpěv<br/>duchovní hudba a gregoriánský chorál k Nanebevzetí Panny Marie
20140830 | 14:00 | Boušín, kostel Navštívení Panny Marie                                        | Eva Bublová &ndash; varhany, Bledar Zajmi &ndash; violoncello<br />N. Porpora, A. VIvaldi, J. S. Bach &ndash; sonáty a variace
20140915 | 18:00 | Praha, chrám sv. Mikuláše na Malé Straně                                     | Eva Bublová &ndash; varhany, Ludmila Topiarzová &ndash; viola, zpěv<br/>duchovní hudba a gregoriánský chorál na téma Stabat Mater
20141126 | 20:00 | Praha, kostel ČCE U Salvátora na Starém Městě                                | Podzimní koncert Komorního orchestru Akademie Praha (KOA)<br/>F. X. Brixi: Koncert F dur pro varhany a orchestr, L. Janáček: Glagolská mše
20150217 | 17:00 | Praha, kostel Panny Marie Pod řetězem na Malé Straně                         | Eva Bublová - varhany, Bronislava Tomanová - zpěv<br/>duchovní koncert z cyklu "Varhanní nešpory Maltézských rytířů"; více na <a href="http://www.sdh.cz/?a=1&j=1&id=522" target="_blank">sdh.cz</a> 
20150518 | 18:00 | Praha, chrám sv. Mikuláše na Malé Straně                                     | Eva Bublová &ndash; varhany, Ludmila Topiarzová &ndash; viola, zpěv<br/>duchovní hudba a gregoriánský chorál ke svatodušním svátkům
20150624 | 18:00 | Praha, chrám sv. Mikuláše na Malé Straně                                     | varhanní recitál duchovní hudby
20150627 | 16:00 | Eggenburg (Rakousko), Stephanskirche                                         | recitál v rámci festivalu Eggenburger Orgelwort
20150706 | 19:00 | Teplice, kostel sv. Jana Křtitele                                            | Eva Bublová - varhany, Bronislava Tomanová - zpěv<br/>skladatelky a skladatelé 19. - 21. století
20150818 | 20:00 | Heidenreichstein (Rakousko), Stadtpfarrkirche                                | recitál v rámci 23. mezinárodního varhanního týdne ve Waldviertelu<br/>skladatelky 18. - 20. století<br />světová premiéra nové skladby Zuzany Ferjenčíkové
20151007 | 17:30 | Praha, kostel ČCE U Salvátora na Starém Městě                                | "Jin a jang", recitál z děl skladatelů a skladatelek
20151028 | 18:00 | Praha, chrám sv. Mikuláše na Malé Straně                                     | varhanní recitál duchovní hudby
20151110 | 17:00 | Praha, kostel Panny Marie pod řetězem                                        | Eva Bublová - varhany, Bronislava Tomanová - zpěv<br/>duchovní koncert z cyklu Varhanní nešpory Maltézských rytířů
20151215 | 12:30 | Salzburg (Rakousko), Mozarteum                                               | koncert v řadě "Orgel zu Mittag"<br/>W. A. Mozart, B. A. Wiedermann, Z. Ferjenčíková
